accuracy,loss,val_accuracy,val_loss
"[89, 1.0]","[94, 0.4685059189796448]","[114, 0.8842471837997437]","[22, 0.8708574771881104]"
"[90, 1.0]","[76, 0.46851837635040283]","[128, 0.8842471837997437]","[59, 0.8730373382568359]"
"[91, 1.0]","[27, 0.46853283047676086]","[145, 0.8842471837997437]","[26, 0.877315104007721]"
"[92, 1.0]","[37, 0.4686625301837921]","[156, 0.8842471837997437]","[17, 0.8818623423576355]"
"[93, 1.0]","[81, 0.4688728153705597]","[157, 0.8842471837997437]","[45, 0.8851712346076965]"
"[94, 1.0]","[66, 0.4690453112125397]","[159, 0.8842471837997437]","[28, 0.8871423602104187]"
"[95, 1.0]","[36, 0.4690680205821991]","[161, 0.8842471837997437]","[177, 0.8884763717651367]"
"[96, 1.0]","[74, 0.46937909722328186]","[172, 0.8842471837997437]","[76, 0.8887462615966797]"
"[97, 1.0]","[73, 0.46948114037513733]","[184, 0.8842471837997437]","[39, 0.8940708041191101]"
"[98, 1.0]","[88, 0.4695461094379425]","[185, 0.8842471837997437]","[35, 0.8960604667663574]"
"[99, 1.0]","[86, 0.4696040749549866]","[195, 0.8842471837997437]","[98, 0.8993946313858032]"
"[100, 1.0]","[82, 0.46965491771698]","[197, 0.8842471837997437]","[152, 0.9014816284179688]"
"[101, 1.0]","[49, 0.46976011991500854]","[14, 0.8833768367767334]","[107, 0.9017650485038757]"
"[102, 1.0]","[98, 0.4699763357639313]","[19, 0.8833768367767334]","[115, 0.9040936231613159]"
"[103, 1.0]","[122, 0.4699907600879669]","[36, 0.8833768367767334]","[112, 0.9045268893241882]"
"[104, 1.0]","[75, 0.47008222341537476]","[40, 0.8833768367767334]","[80, 0.9058344960212708]"
"[105, 1.0]","[64, 0.47032830119132996]","[48, 0.8833768367767334]","[49, 0.9087740778923035]"
"[106, 1.0]","[61, 0.47063902020454407]","[55, 0.8833768367767334]","[183, 0.9092452526092529]"
"[107, 1.0]","[110, 0.4708617031574249]","[68, 0.8833768367767334]","[62, 0.9112170338630676]"
"[108, 1.0]","[87, 0.47091206908226013]","[70, 0.8833768367767334]","[116, 0.9137059450149536]"
"[109, 1.0]","[71, 0.4709567725658417]","[74, 0.8833768367767334]","[197, 0.91499263048172]"
"[110, 1.0]","[100, 0.4709934890270233]","[78, 0.8833768367767334]","[145, 0.9170220494270325]"
"[111, 1.0]","[104, 0.47108808159828186]","[90, 0.8833768367767334]","[85, 0.9250684976577759]"
"[112, 1.0]","[116, 0.4710896611213684]","[95, 0.8833768367767334]","[60, 0.9259883165359497]"
"[113, 1.0]","[103, 0.4712851345539093]","[99, 0.8833768367767334]","[181, 0.9267489910125732]"
"[114, 1.0]","[96, 0.4713151156902313]","[102, 0.8833768367767334]","[111, 0.9267678260803223]"
"[115, 1.0]","[101, 0.47148263454437256]","[109, 0.8833768367767334]","[55, 0.9271096587181091]"
"[116, 1.0]","[93, 0.47158002853393555]","[115, 0.8833768367767334]","[147, 0.9284991025924683]"
"[117, 1.0]","[118, 0.47167330980300903]","[118, 0.8833768367767334]","[42, 0.9288946390151978]"
"[118, 1.0]","[112, 0.4718044698238373]","[121, 0.8833768367767334]","[27, 0.9298296570777893]"
"[119, 1.0]","[83, 0.4720725417137146]","[123, 0.8833768367767334]","[178, 0.9320900440216064]"
"[120, 1.0]","[108, 0.4722657799720764]","[134, 0.8833768367767334]","[160, 0.9321377277374268]"
"[121, 1.0]","[121, 0.47227752208709717]","[147, 0.8833768367767334]","[106, 0.9355663061141968]"
"[122, 1.0]","[120, 0.472322940826416]","[151, 0.8833768367767334]","[23, 0.9370962977409363]"
"[123, 1.0]","[19, 0.4723561704158783]","[152, 0.8833768367767334]","[158, 0.9403945207595825]"
"[124, 1.0]","[140, 0.47242507338523865]","[187, 0.8833768367767334]","[131, 0.9435470104217529]"
"[125, 1.0]","[114, 0.4725428819656372]","[30, 0.8825065493583679]","[25, 0.9458937644958496]"
"[126, 1.0]","[132, 0.47255104780197144]","[53, 0.8825065493583679]","[67, 0.9468855857849121]"
"[127, 1.0]","[60, 0.47282350063323975]","[58, 0.8825065493583679]","[44, 0.9475164413452148]"
"[128, 1.0]","[113, 0.4728243350982666]","[60, 0.8825065493583679]","[20, 0.948032557964325]"
"[129, 1.0]","[119, 0.47282710671424866]","[69, 0.8825065493583679]","[139, 0.9487870931625366]"
"[130, 1.0]","[97, 0.47286465764045715]","[72, 0.8825065493583679]","[57, 0.951852023601532]"
"[131, 1.0]","[102, 0.4731306731700897]","[82, 0.8825065493583679]","[31, 0.9536052346229553]"
"[132, 1.0]","[99, 0.4731605648994446]","[92, 0.8825065493583679]","[195, 0.9596968293190002]"
"[133, 1.0]","[91, 0.47323471307754517]","[103, 0.8825065493583679]","[190, 0.9625452160835266]"
"[134, 1.0]","[117, 0.47325363755226135]","[104, 0.8825065493583679]","[130, 0.9626094102859497]"
"[135, 1.0]","[107, 0.473690390586853]","[105, 0.8825065493583679]","[113, 0.9659280180931091]"
"[136, 1.0]","[194, 0.4739844799041748]","[108, 0.8825065493583679]","[126, 0.9666686654090881]"
"[137, 1.0]","[77, 0.4740517735481262]","[129, 0.8825065493583679]","[136, 0.9667774438858032]"
"[138, 1.0]","[133, 0.47429177165031433]","[135, 0.8825065493583679]","[29, 0.9684866070747375]"
"[139, 1.0]","[131, 0.47430574893951416]","[138, 0.8825065493583679]","[99, 0.968825101852417]"
"[140, 1.0]","[134, 0.47445380687713623]","[149, 0.8825065493583679]","[117, 0.969497799873352]"
"[141, 1.0]","[147, 0.4747108519077301]","[167, 0.8825065493583679]","[71, 0.9703727960586548]"
"[142, 1.0]","[168, 0.47492924332618713]","[171, 0.8825065493583679]","[37, 0.973080039024353]"
"[143, 1.0]","[148, 0.4749301075935364]","[175, 0.8825065493583679]","[156, 0.9739267826080322]"
"[144, 1.0]","[141, 0.47494104504585266]","[188, 0.8825065493583679]","[63, 0.9781535863876343]"
"[145, 1.0]","[109, 0.47499310970306396]","[190, 0.8825065493583679]","[36, 0.9788917303085327]"
"[146, 1.0]","[169, 0.4751455783843994]","[191, 0.8825065493583679]","[120, 0.9828482270240784]"
"[147, 1.0]","[115, 0.47519785165786743]","[32, 0.8816362023353577]","[192, 0.987770140171051]"
"[148, 1.0]","[123, 0.4755425751209259]","[34, 0.8816362023353577]","[53, 0.9925370216369629]"
"[149, 1.0]","[106, 0.47560185194015503]","[39, 0.8816362023353577]","[40, 0.9941967129707336]"
"[150, 1.0]","[136, 0.4756309986114502]","[46, 0.8816362023353577]","[128, 0.9953698515892029]"
"[151, 1.0]","[128, 0.4756775498390198]","[56, 0.8816362023353577]","[46, 0.9993278980255127]"
"[152, 1.0]","[95, 0.47585925459861755]","[76, 0.8816362023353577]","[68, 0.9999402761459351]"
"[153, 1.0]","[145, 0.4758790135383606]","[93, 0.8816362023353577]","[185, 1.0020416975021362]"
"[154, 1.0]","[174, 0.4759129285812378]","[106, 0.8816362023353577]","[134, 1.0094068050384521]"
"[155, 1.0]","[142, 0.475929319858551]","[120, 0.8816362023353577]","[154, 1.0103093385696411]"
"[156, 1.0]","[162, 0.4760369062423706]","[131, 0.8816362023353577]","[104, 1.011089563369751]"
"[157, 1.0]","[143, 0.4764084815979004]","[132, 0.8816362023353577]","[52, 1.0118463039398193]"
"[158, 1.0]","[181, 0.47643396258354187]","[162, 0.8816362023353577]","[90, 1.0131844282150269]"
"[159, 1.0]","[167, 0.4765557050704956]","[163, 0.8816362023353577]","[88, 1.0140467882156372]"
"[160, 1.0]","[153, 0.4766348898410797]","[169, 0.8816362023353577]","[166, 1.0228281021118164]"
"[161, 1.0]","[92, 0.47664445638656616]","[170, 0.8816362023353577]","[69, 1.0240148305892944]"
"[162, 1.0]","[135, 0.4767170548439026]","[192, 0.8816362023353577]","[132, 1.0241395235061646]"
"[163, 1.0]","[111, 0.4768387973308563]","[23, 0.8807658553123474]","[153, 1.0326937437057495]"
"[164, 1.0]","[138, 0.47687140107154846]","[27, 0.8807658553123474]","[41, 1.0423481464385986]"
