accuracy,loss,val_accuracy,val_loss
"[125, 0.8896738886833191]","[15, 0.48708194494247437]","[140, 0.8433420658111572]","[10, 0.4943804144859314]"
"[150, 0.8861956596374512]","[11, 0.4871649444103241]","[144, 0.8433420658111572]","[22, 0.4962516129016876]"
"[169, 0.8855434656143188]","[10, 0.4876808822154999]","[185, 0.8433420658111572]","[13, 0.4973858594894409]"
"[137, 0.8848913311958313]","[12, 0.48846176266670227]","[101, 0.842471718788147]","[26, 0.4974878430366516]"
"[198, 0.8846738934516907]","[17, 0.4885886609554291]","[134, 0.8416013717651367]","[36, 0.4984546899795532]"
"[145, 0.8835869431495667]","[28, 0.4887685775756836]","[133, 0.8407310843467712]","[18, 0.49861371517181396]"
"[144, 0.8830434679985046]","[13, 0.48975813388824463]","[137, 0.8407310843467712]","[24, 0.49885818362236023]"
"[173, 0.8830434679985046]","[23, 0.48979684710502625]","[95, 0.839860737323761]","[20, 0.49929752945899963]"
"[190, 0.8830434679985046]","[20, 0.49033597111701965]","[123, 0.839860737323761]","[35, 0.49941131472587585]"
"[115, 0.8828260898590088]","[14, 0.49052390456199646]","[178, 0.839860737323761]","[41, 0.4994432032108307]"
"[148, 0.8824999928474426]","[19, 0.4907461106777191]","[102, 0.8389904499053955]","[12, 0.4996320903301239]"
"[184, 0.8824999928474426]","[27, 0.49101001024246216]","[145, 0.8389904499053955]","[28, 0.4997117817401886]"
"[199, 0.8824999928474426]","[22, 0.49107661843299866]","[180, 0.8389904499053955]","[30, 0.49971485137939453]"
"[124, 0.8823913335800171]","[31, 0.49114927649497986]","[181, 0.8389904499053955]","[14, 0.5002481937408447]"
"[141, 0.8822826147079468]","[38, 0.49187150597572327]","[100, 0.8381201028823853]","[54, 0.5009827017784119]"
"[192, 0.8822826147079468]","[16, 0.49198469519615173]","[79, 0.837249755859375]","[50, 0.5017073154449463]"
"[142, 0.8821738958358765]","[24, 0.49214133620262146]","[106, 0.837249755859375]","[25, 0.5019754767417908]"
"[147, 0.8819565176963806]","[21, 0.4926823079586029]","[131, 0.837249755859375]","[17, 0.5020679235458374]"
"[177, 0.8811956644058228]","[40, 0.4932851791381836]","[143, 0.837249755859375]","[29, 0.5021836757659912]"
"[122, 0.8810869455337524]","[32, 0.4933120310306549]","[171, 0.837249755859375]","[44, 0.5022265315055847]"
"[163, 0.8810869455337524]","[36, 0.4933180809020996]","[175, 0.837249755859375]","[49, 0.5022650957107544]"
"[154, 0.8809782862663269]","[34, 0.49344539642333984]","[26, 0.8363794684410095]","[61, 0.5028408169746399]"
"[191, 0.8807608485221863]","[39, 0.4935932159423828]","[41, 0.8363794684410095]","[31, 0.5031428337097168]"
"[99, 0.8806521892547607]","[26, 0.4938543438911438]","[67, 0.8363794684410095]","[58, 0.5036754608154297]"
"[153, 0.8804348111152649]","[47, 0.4938981831073761]","[71, 0.8363794684410095]","[75, 0.5037949681282043]"
"[168, 0.8801087141036987]","[25, 0.49396446347236633]","[82, 0.8363794684410095]","[62, 0.5038101077079773]"
"[171, 0.8801087141036987]","[61, 0.4940250813961029]","[107, 0.8363794684410095]","[45, 0.5039045214653015]"
"[196, 0.8801087141036987]","[46, 0.49435845017433167]","[113, 0.8363794684410095]","[46, 0.5040366649627686]"
"[170, 0.8797826170921326]","[30, 0.49456462264060974]","[125, 0.8363794684410095]","[33, 0.5041314363479614]"
"[108, 0.8796738982200623]","[41, 0.4949486255645752]","[166, 0.8363794684410095]","[64, 0.5043311715126038]"
"[113, 0.8796738982200623]","[44, 0.49495068192481995]","[174, 0.8363794684410095]","[92, 0.5046241879463196]"
"[186, 0.8795652389526367]","[57, 0.4949960708618164]","[186, 0.8363794684410095]","[16, 0.5046828389167786]"
"[110, 0.8794565200805664]","[42, 0.4951693117618561]","[190, 0.8363794684410095]","[37, 0.5046989321708679]"
"[159, 0.8794565200805664]","[35, 0.49526578187942505]","[89, 0.8355091214179993]","[69, 0.5048350095748901]"
"[194, 0.8793478012084961]","[29, 0.4954853057861328]","[91, 0.8355091214179993]","[60, 0.5049081444740295]"
"[139, 0.8788043260574341]","[56, 0.49569612741470337]","[98, 0.8355091214179993]","[99, 0.5050114989280701]"
"[105, 0.8786956667900085]","[55, 0.49627557396888733]","[103, 0.8355091214179993]","[27, 0.5051321387290955]"
"[162, 0.8785869479179382]","[50, 0.4964534342288971]","[118, 0.8355091214179993]","[87, 0.5052595138549805]"
"[181, 0.8785869479179382]","[52, 0.4971732795238495]","[122, 0.8355091214179993]","[32, 0.5055893659591675]"
"[93, 0.8781521916389465]","[65, 0.497266948223114]","[136, 0.8355091214179993]","[55, 0.5058608055114746]"
"[104, 0.8780434727668762]","[48, 0.4974221885204315]","[138, 0.8355091214179993]","[38, 0.5060262084007263]"
"[121, 0.8780434727668762]","[54, 0.4974251091480255]","[141, 0.8355091214179993]","[40, 0.5060297250747681]"
"[130, 0.8780434727668762]","[67, 0.497692346572876]","[150, 0.8355091214179993]","[15, 0.5065110921859741]"
"[71, 0.8779347538948059]","[53, 0.49784860014915466]","[153, 0.8355091214179993]","[66, 0.5066020488739014]"
"[164, 0.8779347538948059]","[43, 0.497891366481781]","[162, 0.8355091214179993]","[63, 0.5066977143287659]"
"[187, 0.8778260946273804]","[37, 0.49811655282974243]","[167, 0.8355091214179993]","[116, 0.5068978667259216]"
"[174, 0.8774999976158142]","[45, 0.49812546372413635]","[176, 0.8355091214179993]","[119, 0.506967306137085]"
"[92, 0.8773912787437439]","[58, 0.49852824211120605]","[187, 0.8355091214179993]","[48, 0.5070281624794006]"
"[102, 0.8773912787437439]","[71, 0.49862200021743774]","[199, 0.8355091214179993]","[88, 0.5071937441825867]"
"[140, 0.8773912787437439]","[49, 0.4989786446094513]","[37, 0.8346388339996338]","[95, 0.5073091387748718]"
"[167, 0.8772826194763184]","[68, 0.4989873468875885]","[55, 0.8346388339996338]","[84, 0.5074431300163269]"
"[183, 0.8772826194763184]","[66, 0.4994792938232422]","[62, 0.8346388339996338]","[114, 0.5075851082801819]"
"[98, 0.877173900604248]","[62, 0.4996100664138794]","[64, 0.8346388339996338]","[90, 0.5078080892562866]"
"[179, 0.8770652413368225]","[84, 0.4996403157711029]","[65, 0.8346388339996338]","[185, 0.5078372955322266]"
"[165, 0.876630425453186]","[75, 0.49964678287506104]","[68, 0.8346388339996338]","[34, 0.5078403949737549]"
"[188, 0.876630425453186]","[78, 0.4999016523361206]","[90, 0.8346388339996338]","[78, 0.507927656173706]"
"[119, 0.8765217661857605]","[59, 0.49993646144866943]","[96, 0.8346388339996338]","[89, 0.5079291462898254]"
"[132, 0.8764130473136902]","[60, 0.5003558397293091]","[111, 0.8346388339996338]","[47, 0.5079831480979919]"
"[193, 0.8761956691741943]","[72, 0.5003780722618103]","[127, 0.8346388339996338]","[137, 0.5090605616569519]"
"[197, 0.8761956691741943]","[82, 0.5005862712860107]","[130, 0.8346388339996338]","[23, 0.5091017484664917]"
"[73, 0.8756521940231323]","[76, 0.5007525086402893]","[132, 0.8346388339996338]","[82, 0.5091657042503357]"
"[100, 0.8756521940231323]","[88, 0.5008803009986877]","[135, 0.8346388339996338]","[151, 0.5093913674354553]"
"[117, 0.875543475151062]","[69, 0.5012194514274597]","[151, 0.8346388339996338]","[175, 0.5096001625061035]"
"[157, 0.875543475151062]","[85, 0.5013738870620728]","[192, 0.8346388339996338]","[134, 0.5096836686134338]"
"[129, 0.8754347562789917]","[91, 0.5014439225196838]","[194, 0.8346388339996338]","[11, 0.5099855065345764]"
"[135, 0.8754347562789917]","[74, 0.5014921426773071]","[44, 0.8337684869766235]","[42, 0.5102370977401733]"
"[143, 0.8753260970115662]","[94, 0.5015240907669067]","[74, 0.8337684869766235]","[67, 0.5103156566619873]"
"[106, 0.8751087188720703]","[70, 0.5015742778778076]","[80, 0.8337684869766235]","[81, 0.5103435516357422]"
"[101, 0.875]","[95, 0.5017500519752502]","[83, 0.8337684869766235]","[39, 0.5103729963302612]"
"[138, 0.875]","[33, 0.50182044506073]","[87, 0.8337684869766235]","[70, 0.5104935169219971]"
"[189, 0.8748912811279297]","[90, 0.5018255710601807]","[88, 0.8337684869766235]","[94, 0.51058030128479]"
"[127, 0.8747826218605042]","[80, 0.5018306970596313]","[108, 0.8337684869766235]","[19, 0.5108298659324646]"
"[180, 0.8746739029884338]","[73, 0.5019015073776245]","[112, 0.8337684869766235]","[141, 0.5113274455070496]"
"[91, 0.8745652437210083]","[51, 0.50200355052948]","[115, 0.8337684869766235]","[155, 0.5117528438568115]"
"[69, 0.874456524848938]","[77, 0.5021753311157227]","[116, 0.8337684869766235]","[131, 0.511976957321167]"
"[128, 0.8742391467094421]","[64, 0.5023359656333923]","[119, 0.8337684869766235]","[182, 0.512128472328186]"
"[79, 0.8738043308258057]","[96, 0.5024470686912537]","[126, 0.8337684869766235]","[158, 0.5125082731246948]"
"[86, 0.8738043308258057]","[63, 0.502471387386322]","[165, 0.8337684869766235]","[130, 0.5128112435340881]"
"[195, 0.8736956715583801]","[98, 0.5025261044502258]","[177, 0.8337684869766235]","[136, 0.5128133296966553]"
"[166, 0.873369574546814]","[113, 0.5026572346687317]","[45, 0.8328981995582581]","[126, 0.5128523111343384]"
"[185, 0.873369574546814]","[81, 0.5026752352714539]","[63, 0.8328981995582581]","[121, 0.5131761431694031]"
"[74, 0.8732608556747437]","[89, 0.5027684569358826]","[77, 0.8328981995582581]","[123, 0.5134480595588684]"
"[175, 0.8732608556747437]","[93, 0.502866804599762]","[78, 0.8328981995582581]","[148, 0.5134997367858887]"
"[152, 0.8731521964073181]","[92, 0.5028949975967407]","[85, 0.8328981995582581]","[132, 0.5135504007339478]"
"[176, 0.8731521964073181]","[103, 0.503285825252533]","[86, 0.8328981995582581]","[56, 0.5136321187019348]"
"[88, 0.8730434775352478]","[124, 0.5033344030380249]","[99, 0.8328981995582581]","[157, 0.5137801170349121]"
"[133, 0.8730434775352478]","[100, 0.5034208297729492]","[114, 0.8328981995582581]","[79, 0.514218807220459]"
"[118, 0.8729347586631775]","[120, 0.5035081505775452]","[128, 0.8328981995582581]","[170, 0.5142370462417603]"
"[178, 0.8729347586631775]","[109, 0.5037378668785095]","[142, 0.8328981995582581]","[133, 0.5144336223602295]"
"[107, 0.8727173805236816]","[97, 0.5037835836410522]","[148, 0.8328981995582581]","[57, 0.5146252512931824]"
"[64, 0.8723912835121155]","[112, 0.5039578676223755]","[164, 0.8328981995582581]","[77, 0.5146837830543518]"
"[112, 0.8723912835121155]","[87, 0.5040169954299927]","[170, 0.8328981995582581]","[127, 0.5148176550865173]"
"[81, 0.8722826242446899]","[99, 0.5042800903320312]","[173, 0.8328981995582581]","[179, 0.5148322582244873]"
"[123, 0.8722826242446899]","[116, 0.5044317841529846]","[183, 0.8328981995582581]","[80, 0.5148577690124512]"
"[94, 0.8720652461051941]","[107, 0.5045474171638489]","[16, 0.8320278525352478]","[180, 0.5148625373840332]"
"[96, 0.8718478083610535]","[102, 0.5047113299369812]","[27, 0.8320278525352478]","[135, 0.5149000883102417]"
"[111, 0.8718478083610535]","[79, 0.5047363638877869]","[51, 0.8320278525352478]","[74, 0.5150998830795288]"
"[134, 0.8718478083610535]","[140, 0.505090594291687]","[54, 0.8320278525352478]","[53, 0.5151053667068481]"
"[85, 0.8715217113494873]","[83, 0.5051582455635071]","[57, 0.8320278525352478]","[156, 0.515121579170227]"
"[149, 0.8714130520820618]","[123, 0.505228579044342]","[58, 0.8320278525352478]","[163, 0.5155027508735657]"
"[109, 0.8710869550704956]","[127, 0.5052575469017029]","[61, 0.8320278525352478]","[190, 0.5160938501358032]"
"[182, 0.8709782361984253]","[128, 0.50575190782547]","[69, 0.8320278525352478]","[111, 0.5161799192428589]"
"[82, 0.8708695769309998]","[143, 0.5059303641319275]","[72, 0.8320278525352478]","[109, 0.5163898468017578]"
"[97, 0.8708695769309998]","[101, 0.5059734582901001]","[84, 0.8320278525352478]","[154, 0.5165013074874878]"
"[114, 0.8707608580589294]","[108, 0.5060715079307556]","[117, 0.8320278525352478]","[76, 0.51651531457901]"
"[126, 0.8706521987915039]","[105, 0.506089448928833]","[121, 0.8320278525352478]","[199, 0.51673823595047]"
"[83, 0.8705434799194336]","[119, 0.5060948729515076]","[124, 0.8320278525352478]","[102, 0.5167480111122131]"
"[155, 0.8705434799194336]","[86, 0.5061124563217163]","[156, 0.8320278525352478]","[129, 0.5168471336364746]"
